"Report Written:","Wednesday, June 29, 2022"
"Design Path:","D:\src\pico-vdp\hardware\pico-vdp.pcb"
"Design Title:",
"Created:","4/14/2022 3:50:07 PM"
"Last Saved:","5/4/2022 10:54:51 AM"
"Editing Time:","26617 min"
"Units:","thou (precision 0)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"U5","1","74AHC32","","DIL","","","","","2IPNOR"
"U1","1","74AHC138","","DIL","","","","","3TO8DECODER"
"U3","1","74AHC138","","DIL","","","","","3TO8DECODER"
"U4","1","74LVC245A","","DIL","","","","","OCTALBUSTX"
"C1","1","C","","RADIAL1","","","","","Capacitor"
"C7","1","C","","RADIAL1","","","","","Capacitor"
"C5","1","C","","RADIAL1","","","","","Capacitor"
"C3","1","C","4.7pF","RADIAL1","","","","","Capacitor"
"C6","1","C","100nF","RADIAL1","","","","","Capacitor"
"C2","1","C_ELECTRO","4.7uF","CAPP1V","","","","","Capacitor"
"C4","1","C_ELECTRO","10uF","CAPP1V","","","","","Capacitor"
"PL3","1","HEADER_RC2014","","DSC","","","","","39-pin right angle haeader"
"PL1","1","HEADER_S6","","DSC","","","","","6-pin header"
"PL2","1","HEADER_S9","","DSC","","","","","9-pin header"
"CONN1","1","ICD15S13E4GX00LF","","ICD15S13E4GX00LF","Amphenol","ICD15S13E4GX00LF","","","15-pin D-Sub Connector"
"J5","1","JUMPER_2","","DSC","","","","","2 way Pin Header"
"J4","1","JUMPER_2","","DSC","","","","","2 way Pin Header"
"J2","1","JUMPER_2","","DSC","","","","","2 way Pin Header"
"J3","1","JUMPER_2","","DSC","","","","","2 way Pin Header"
"J1","1","JUMPER_2","","DSC","","","","","2 way Pin Header"
"U2","1","NJM2113D","","DIP762W56P254L880H425Q8N","New Japan Radio","NJM2113D","","","Low Voltage Audio Amplifier"
"LS1","1","PCB_SPEAKER","","AST02308MRR","PUI Audio","AST-02308MR-R","","","Speaker"
"R12","1","R","1K","DSC","","","","","Resistor"
"R10","1","R","1K","DSC","","","","","Resistor"
"R15","1","R","1K","DSC","","","","","Resistor"
"R16","1","R","2K2","DSC","","","","","Resistor"
"R13","1","R","2K2","DSC","","","","","Resistor"
"R7","1","R","33K","DSC","","","","","Resistor"
"R2","1","R","47K","DSC","","","","","Resistor"
"R3","1","R","47K","DSC","","","","","Resistor"
"R1","1","R","47K","DSC","","","","","Resistor"
"R8","1","R","68K","DSC","","","","","Resistor"
"R17","1","R","100","DSC","","","","","Resistor"
"R18","1","R","100","DSC","","","","","Resistor"
"R14","1","R","470","DSC","","","","","Resistor"
"R11","1","R","470","DSC","","","","","Resistor"
"R9","1","R","470","DSC","","","","","Resistor"
"R6","1","R","560","DSC","","","","","Resistor"
"R5","1","R","560","DSC","","","","","Resistor"
"R4","1","R","560","DSC","","","","","Resistor"
"U6","1","RP2040","","DIL","","","","","Microcontroller breakout board"
"D1","1","SCHOTTKY","","DSC","","1N5817","","","Schottky Diode"
